,AMED
Price/Earnings (TTM),24.63823
Price/Sales (TTM),1.33219
Price/Book (MRQ),2.91111
Price/Cash Flow (TTM),19.85202
5yr Low,49.8
5yr High,325.12
5yr Avg Return,0.24980000000000005
EPS Growth 5yr,0.4184407
Revenue Growth 5yr,0.0930184
Dividend Growth 5yr,
Short Int Current Month,1670802.0
Short Int Prev Month,1707426.0
Short Int Pct of Float,0.052431900000000004
Days to Cover,2.85146
Float,31.91137
Shares Outstanding,32.49199
Institutions Holding Shares,396.0
% Held by Institutions,0.989041
FCF Growth 5yr,0.0908664077041957
