,AMED
% Above Low,0.0968
% Held by Institutions,0.9890000000000001
52-Wk Range,['83.01 - 179.91']
Annual Dividend $,
Annual Dividend %,
Ask,91.52
Ask Size,900.0
B/A Ratio,0.2222222222222222
B/A Size,200x900
Beta,1.0
Bid,90.55
Bid Size,200.0
Closing Price,91.04
Day Change $,-0.21
Day Change %,-0.0023
Day High,91.29
Day Low,89.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.7
Ex-dividend Date,No dividend
Historical Volatility,0.511
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,3.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",24.64
Prev Close,91.25
Shares Outstanding,32.5M
Short Interest,0.0524
Today's Open,91.25
Volume,211344.0
Volume 10-day Avg,376779.0
Volume Past Day,(Light)
