,KPTI
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.32781456953642396
Growth 1yr High Est,-0.32170542635658916
Growth 1yr Consensus Est,-0.32475999794650656
Growth 2yr Low Est,-0.2796708315662415
Growth 2yr High Est,-0.36656699889258026
Growth 2yr Consensus Est,-0.3231189152294109
Growth 5yr Low Est,-0.15894856563021556
Growth 5yr High Est,-0.22318577957658328
Growth 5yr Consensus Est,-0.19106717260339942
Growth 5yr Actual/Est,-0.16478784163406926
Growth 3yr Historic,-0.13716546401169163
