,KPTI
Price/Earnings (TTM),
Price/Sales (TTM),1.60514
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.92
5yr High,29.61
5yr Avg Return,-0.017799999999999993
EPS Growth 5yr,
Revenue Growth 5yr,3.235111
Dividend Growth 5yr,
Short Int Current Month,13644408.0
Short Int Prev Month,13522863.0
Short Int Pct of Float,0.1844776
Days to Cover,5.63243
Float,74.05891
Shares Outstanding,81.15503
Institutions Holding Shares,195.0
% Held by Institutions,0.8297620000000001
FCF Growth 5yr,0.14868495759662215
