,KPTI
% Above Low,0.23500000000000001
% Held by Institutions,0.8298000000000001
52-Wk Range,['4.00 - 14.73']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,-0.1
Bid,
Bid Size,
Closing Price,4.94
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,1.065
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,400.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,4.94
Shares Outstanding,81.2M
Short Interest,0.1845
Today's Open,
Volume,403412.0
Volume 10-day Avg,1580520.0
Volume Past Day,(Light)
