,TREE
% Above Low,0.11570000000000001
% Held by Institutions,0.8262999999999999
52-Wk Range,['20.05 - 143.09']
Annual Dividend $,
Annual Dividend %,
Ask,24.05
Ask Size,100.0
Ask close,27.48
B/A Ratio,8.0
B/A Size,800x100
Beta,1.7
Bid,20.72
Bid Size,800.0
Bid close,17.16
Change Since Close,-0.37| |(-1.65%)
Closing Price,22.37
Day Change $,-1.22
Day Change %,-0.051699999999999996
Day High,23.38
Day Low,22.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-10.29
Ex-dividend Date,No dividend
Historical Volatility,0.773
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,22.0
Market Cap,286.0M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,23.59
Shares Outstanding,12.8M
Short Interest,0.10439999999999999
Today's Open,23.38
Volume,235891.0
Volume 10-day Avg,266412.0
Volume Past Day,(Below Average)
