,TREE
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-8.125
Growth 2yr High Est,6.583333333333333
Growth 2yr Consensus Est,-0.7708333333333335
Growth 5yr Low Est,-8.125
Growth 5yr High Est,6.583333333333333
Growth 5yr Consensus Est,-0.7708333333333335
Growth 5yr Actual/Est,0.24851293753753434
Growth 3yr Historic,-0.1768674587823524
