,UFPT
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.7632850241545894
Growth 1yr High Est,1.5167464114832536
Growth 1yr Consensus Est,1.1400157178189216
Growth 2yr Low Est,0.45698497783071945
Growth 2yr High Est,0.6880310004184329
Growth 2yr Consensus Est,0.5725079891245761
Growth 5yr Low Est,0.45698497783071945
Growth 5yr High Est,0.6880310004184329
Growth 5yr Consensus Est,0.5725079891245762
Growth 5yr Actual/Est,0.2413361324839245
Growth 3yr Historic,-0.03655130931666348
