,UFPT
% Below High,0.026699999999999998
% Held by Institutions,0.857
52-Wk Range,['56.10 - 119.85']
Annual Dividend $,
Annual Dividend %,
Ask,117.07
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.8
Bid,116.65
Bid Size,400.0
Closing Price,116.65
Day Change $,-1.18
Day Change %,-0.01
Day High,118.26
Day Low,116.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.79
Ex-dividend Date,No dividend
Historical Volatility,0.409
Last (size),290.0
Last (time),4:00p ET 11/28/22
Market Cap,884.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.62
Prev Close,117.83
Shares Outstanding,7.6M
Short Interest,0.0127
Today's Open,117.34
Volume,31799.0
Volume 10-day Avg,78575.0
Volume Past Day,(Light)
