,TRIP
Price/Earnings (TTM),
Price/Sales (TTM),2.02163
Price/Book (MRQ),3.4281
Price/Cash Flow (TTM),30.30241
5yr Low,13.73
5yr High,69.0
5yr Avg Return,-0.05071666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.09429040000000001
Dividend Growth 5yr,
Short Int Current Month,14621671.0
Short Int Prev Month,14242387.0
Short Int Pct of Float,0.1425539
Days to Cover,3.45459
Float,102.6059
Shares Outstanding,140.5861
Institutions Holding Shares,385.0
% Held by Institutions,0.834747
FCF Growth 5yr,1.4554742419473297
