,TRIP
% Above Low,0.1529
% Held by Institutions,0.8347
52-Wk Range,['16.87 - 30.48']
Annual Dividend $,
Annual Dividend %,
Ask,19.68
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.3
Bid,19.45
Bid Size,300.0
Closing Price,19.45
Day Change $,-0.38
Day Change %,-0.0192
Day High,19.94
Day Low,19.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.07
Ex-dividend Date,No dividend
Historical Volatility,0.595
Last (size),179.0
Last (time),4:00p ET 11/28/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,19.83
Shares Outstanding,140.6M
Short Interest,0.1426
Today's Open,19.61
Volume,1869194.0
Volume 10-day Avg,2280515.0
Volume Past Day,(Below Average)
