,INDI
Price/Earnings (TTM),
Price/Sales (TTM),12.54089
Price/Book (MRQ),4.08665
Price/Cash Flow (TTM),
5yr Low,5.07
5yr High,16.33
5yr Avg Return,-0.017325
Short Int Current Month,11085288.0
Short Int Prev Month,11744326.0
Short Int Pct of Float,0.1597741
Days to Cover,7.63396
Float,80.02748
Shares Outstanding,148.4814
Institutions Holding Shares,165.0
% Held by Institutions,0.603887
FCF Growth 5yr,0.4286352254311277
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
