,INDI
% Above Low,0.6114
% Held by Institutions,0.6039
52-Wk Range,['5.07 - 15.80']
Annual Dividend $,
Annual Dividend %,
Ask,8.2
Ask Size,300.0
B/A Ratio,3.0
B/A Size,900x300
Beta,
Bid,7.95
Bid Size,900.0
Closing Price,8.17
Day Change $,-0.03
Day Change %,-0.0037
Day High,8.2
Day Low,8.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.45
Ex-dividend Date,No dividend
Historical Volatility,0.778
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.2
Shares Outstanding,125.1M
Short Interest,0.1598
Today's Open,8.06
Volume,466345.0
Volume 10-day Avg,3630088.0
Volume Past Day,(Light)
