,AJRD
% Below High,0.0181
% Held by Institutions,0.9109999999999999
52-Wk Range,['35.47 - 51.93']
Annual Dividend $,
Annual Dividend %,
Ask,52.0
Ask Size,100.0
B/A Ratio,15.0
B/A Size,1500x100
Beta,0.6
Bid,50.05
Bid Size,1500.0
Closing Price,50.99
Day Change $,0.31
Day Change %,0.0060999999999999995
Day High,51.2
Day Low,50.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.14
Ex-dividend Date,No dividend
Historical Volatility,0.36200000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",44.75
Prev Close,50.68
Shares Outstanding,80.5M
Short Interest,0.030299999999999997
Today's Open,50.99
Volume,172079.0
Volume 10-day Avg,551118.0
Volume Past Day,(Light)
