,AJRD
Price/Earnings (TTM),44.75202
Price/Sales (TTM),1.88443
Price/Book (MRQ),7.61306
Price/Cash Flow (TTM),26.50975
5yr Low,24.41
5yr High,57.27
5yr Avg Return,0.09871666666666667
EPS Growth 5yr,0.4551685
Revenue Growth 5yr,0.0443421
Dividend Growth 5yr,
Short Int Current Month,2358126.0
Short Int Prev Month,2123456.0
Short Int Pct of Float,0.0303439
Days to Cover,4.12252
Float,77.74054
Shares Outstanding,80.53265
Institutions Holding Shares,330.0
% Held by Institutions,0.9110039999999999
FCF Growth 5yr,-0.36368223707877917
