,URI
Price/Earnings (TTM),13.21078
Price/Sales (TTM),2.23735
Price/Book (MRQ),3.91684
Price/Cash Flow (TTM),6.04123
5yr Low,58.85
5yr High,414.99
5yr Avg Return,0.19958333333333333
EPS Growth 5yr,0.2417007
Revenue Growth 5yr,0.110153
Dividend Growth 5yr,
Short Int Current Month,3109344.0
Short Int Prev Month,3336324.0
Short Int Pct of Float,0.045107999999999995
Days to Cover,4.04126
Float,68.94016
Shares Outstanding,69.30848
Institutions Holding Shares,1155.0
% Held by Institutions,0.905151
FCF Growth 5yr,0.0967423444534408
