,URI
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.7345679012345678
Growth 1yr High Est,0.6796204247627657
Growth 1yr Consensus Est,0.7070941629986668
Growth 2yr Low Est,0.3729455488055725
Growth 2yr High Est,0.4148707450690342
Growth 2yr Consensus Est,0.39390814693730336
Growth 5yr Low Est,0.22077398691076328
Growth 5yr High Est,0.23350822682593425
Growth 5yr Consensus Est,0.22714110686834876
Growth 5yr Actual/Est,0.18943590861004914
Growth 3yr Historic,0.03958771995788837
