,URI
% Below High,0.057800000000000004
% Held by Institutions,0.9052
52-Wk Range,['230.54 - 368.90']
Annual Dividend $,
Annual Dividend %,
Ask,352.45
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.9
Bid,347.0
Bid Size,100.0
Closing Price,347.59
Day Change $,-11.44
Day Change %,-0.0319
Day High,358.76
Day Low,345.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",27.18
Ex-dividend Date,No dividend
Historical Volatility,0.41500000000000004
Last (size),15.0
Last (time),7:00p ET 11/28/22
Market Cap,24.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.21
Prev Close,359.03
Shares Outstanding,69.3M
Short Interest,0.0451
Today's Open,355.01
Volume,674055.0
Volume 10-day Avg,703181.0
Volume Past Day,(Average)
