,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 9/2020,Positive Surprise,1.76,,,,,,,1.53,1.76,,
Year ending 9/2021,Positive Surprise,4.01,,1.2784090909090908,,,,,3.26,4.01,1.2784090909090908,
Year ending 9/2022,Positive Surprise,7.17,,0.7880299251870324,,,,,6.41,7.17,0.7880299251870324,
Year ending 9/2023,Neutral,,3.42,0.0,3.35,,3.53,,3.42,3.42,-0.5230125523012552,
Year ending 9/2024,Neutral,,4.47,0.0,4.15,0.23880597014925375,4.8,0.3597733711048159,4.47,4.47,0.30701754385964897,0.2992896706270348
