,BZH
% Above Low,0.43820000000000003
% Held by Institutions,0.764
52-Wk Range,['9.47 - 23.97']
Annual Dividend $,
Annual Dividend %,
Ask,14.09
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,2.1
Bid,12.86
Bid Size,300.0
Closing Price,13.62
Day Change $,-0.03
Day Change %,-0.0022
Day High,13.73
Day Low,13.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.17
Ex-dividend Date,No dividend
Historical Volatility,0.5720000000000001
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,420.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1.9
Prev Close,13.65
Shares Outstanding,30.9M
Short Interest,0.055999999999999994
Today's Open,13.54
Volume,83195.0
Volume 10-day Avg,490174.0
Volume Past Day,(Light)
