,BZH
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.23880597014925375
Growth 2yr High Est,0.3597733711048159
Growth 2yr Consensus Est,0.2992896706270348
Growth 5yr Low Est,0.23880597014925375
Growth 5yr High Est,0.3597733711048159
Growth 5yr Consensus Est,0.2992896706270348
Growth 5yr Actual/Est,0.4626110019136293
Growth 3yr Historic,0.5166097540240309
