,LFST
% Above Low,0.0692
% Held by Institutions,0.8240999999999999
52-Wk Range,['4.77 - 11.25']
Annual Dividend $,
Annual Dividend %,
Ask,6.89
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,4.5
Bid Size,100.0
Closing Price,5.1
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.79
Ex-dividend Date,No dividend
Historical Volatility,0.895
Last (size),200.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.1
Shares Outstanding,376.0M
Short Interest,0.1255
Today's Open,
Volume,146591.0
Volume 10-day Avg,682900.0
Volume Past Day,(Light)
