,LFST
Price/Earnings (TTM),
Price/Sales (TTM),2.33795
Price/Book (MRQ),1.25224
Price/Cash Flow (TTM),
5yr Low,4.77
5yr High,29.81
5yr Avg Return,-0.49989999999999996
Short Int Current Month,9715386.0
Short Int Prev Month,9813516.0
Short Int Pct of Float,0.1254772
Days to Cover,10.94647
Float,317.9055
Shares Outstanding,375.9864
Institutions Holding Shares,116.0
% Held by Institutions,0.824055
FCF Growth 5yr,0.08060756469618184
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
