,SKX
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.10931174089068829
Growth 1yr High Est,-0.13584905660377355
Growth 1yr Consensus Est,-0.12258039874723092
Growth 2yr Low Est,0.038525947736474
Growth 2yr High Est,0.1635165197330477
Growth 2yr Consensus Est,0.10102123373476085
Growth 5yr Low Est,0.04616880346464958
Growth 5yr High Est,0.12232843530512039
Growth 5yr Consensus Est,0.08424861938488498
Growth 5yr Actual/Est,0.6188908688908688
Growth 3yr Historic,0.5683760683760684
