,SKX
% Above Low,0.2775
% Held by Institutions,0.9538
52-Wk Range,['31.28 - 49.89']
Annual Dividend $,
Annual Dividend %,
Ask,39.96
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.3
Bid,39.94
Bid Size,200.0
Day Change $,-0.14
Day Change %,-0.0034999999999999996
Day High,40.38
Day Low,39.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.45
Ex-dividend Date,No dividend
Historical Volatility,0.462
Last (size),26.0
Last (time),2:28p ET 11/28/22
Market Cap,6.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.02
Prev Close,40.1
Price,39.96
Shares Outstanding,155.1M
Short Interest,0.036699999999999997
Today's Open,39.69
Volume Past Day,(Light)
