,SKX
Price/Earnings (TTM),9.01683
Price/Sales (TTM),0.86219
Price/Book (MRQ),1.79823
Price/Cash Flow (TTM),6.85001
5yr Low,17.06
5yr High,55.87
5yr Avg Return,0.09330000000000002
EPS Growth 5yr,0.24642679999999997
Revenue Growth 5yr,0.1201875
Dividend Growth 5yr,
Short Int Current Month,4875538.0
Short Int Prev Month,5599039.0
Short Int Pct of Float,0.0367264
Days to Cover,2.59975
Float,132.7738
Shares Outstanding,155.1008
Institutions Holding Shares,407.0
% Held by Institutions,0.953794
FCF Growth 5yr,11.145667989417989
