,ALSN
% Below High,0.014499999999999999
% Held by Institutions,1.0027
52-Wk Range,['32.63 - 44.70']
Annual Dividend $,0.84
Annual Dividend %,0.0191
Ask,45.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,43.0
Bid Size,100.0
Closing Price,44.05
Day Change $,-0.45
Day Change %,-0.0101
Day High,44.62
Day Low,43.84
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",5.18
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.308
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.51
Prev Close,44.5
Shares Outstanding,92.5M
Short Interest,0.029300000000000003
Today's Open,44.57
Volume,245515.0
Volume 10-day Avg,744791.0
Volume Past Day,(Light)
