,ALSN
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.11111111111111116
Growth 1yr High Est,0.1499999999999999
Growth 1yr Consensus Est,0.13055555555555554
Growth 2yr Low Est,0.016339869281045805
Growth 2yr High Est,0.22804347826086946
Growth 2yr Consensus Est,0.12219167377095763
Growth 5yr Low Est,0.008169934640522902
Growth 5yr High Est,0.11402173913043473
Growth 5yr Consensus Est,0.061095836885478816
Growth 5yr Actual/Est,0.10407566407859725
Growth 3yr Historic,0.007392718047664948
