,KNSA
Price/Earnings (TTM),7.89377
Price/Sales (TTM),6.18964
Price/Book (MRQ),2.85334
Price/Cash Flow (TTM),7.55546
5yr Low,5.01
5yr High,32.88
5yr Avg Return,0.028099999999999997
Short Int Current Month,2790283.0
Short Int Prev Month,2728161.0
Short Int Pct of Float,0.0409211
Days to Cover,4.86148
Float,32.94202
Shares Outstanding,69.53176
Institutions Holding Shares,162.0
% Held by Institutions,0.436653
FCF Growth 5yr,-0.6394921792089103
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
