,KNSA
% Below High,0.0608
% Held by Institutions,0.43670000000000003
52-Wk Range,['7.36 - 16.78']
Annual Dividend $,
Annual Dividend %,
Ask,16.65
Ask Size,1500.0
B/A Ratio,0.06666666666666667
B/A Size,100x1500
Beta,-0.2
Bid,10.15
Bid Size,100.0
Closing Price,15.76
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.0
Ex-dividend Date,No dividend
Historical Volatility,0.622
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",7.89
Prev Close,15.76
Shares Outstanding,69.5M
Short Interest,0.0409
Today's Open,
Volume,157808.0
Volume 10-day Avg,319083.0
Volume Past Day,(Light)
