,KNSA
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-1.8719008264462809
Growth 1yr High Est,-2.1285714285714286
Growth 1yr Consensus Est,-2.0002361275088547
Growth 2yr Low Est,-1.8079883279150835
Growth 2yr High Est,-1.6170283303194695
Growth 2yr Consensus Est,-1.7125083291172765
Growth 5yr Low Est,-0.9613190047218729
Growth 5yr High Est,-0.8811493002948698
Growth 5yr Consensus Est,-0.9212341525083714
Growth 5yr Actual/Est,-0.9020821620876943
Growth 3yr Historic,-0.06146606184087447
