,TFC
% Above Low,0.1329
% Held by Institutions,0.7173999999999999
52-Wk Range,['40.01 - 68.95']
Annual Dividend $,2.08
Annual Dividend %,0.0443
Ask,46.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,45.32
Bid Size,100.0
Change Since Close,0.01| |(0.02%)
Closing Price,45.32
Day Change $,-1.6
Day Change %,-0.0341
Day High,46.65
Day Low,45.23
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.32299999999999995
Last (size),10.0
Last (time),4:10p ET 11/28/22
Last Trade,45.33
Market Cap,60.1B
"P/E Ratio (TTM, GAAP)",10.76
Prev Close,46.92
Shares Outstanding,1.3B
Short Interest,0.012199999999999999
Today's Open,46.43
Volume,5765021.0
Volume 10-day Avg,5194018.0
Volume Past Day,(Above Average)
