,TFC
Price/Earnings (TTM),10.76253
Price/Sales (TTM),2.77997
Price/Book (MRQ),1.15036
Price/Cash Flow (TTM),8.65691
5yr Low,24.01
5yr High,68.95
5yr Avg Return,0.007550000000000002
EPS Growth 5yr,0.1003211
Revenue Growth 5yr,0.1428186
Dividend Growth 5yr,0.1009384
Short Int Current Month,16150965.0
Short Int Prev Month,15171336.0
Short Int Pct of Float,0.012213
Days to Cover,2.26199
Float,1322.791
Shares Outstanding,1326.766
Institutions Holding Shares,1772.0
% Held by Institutions,0.717399
FCF Growth 5yr,0.0
