,EPAM
Price/Earnings (TTM),50.84136
Price/Sales (TTM),4.27174
Price/Book (MRQ),7.28169
Price/Cash Flow (TTM),40.21161
5yr Low,96.11
5yr High,725.4
5yr Avg Return,0.3345666666666667
EPS Growth 5yr,0.3431628
Revenue Growth 5yr,0.2650078
Dividend Growth 5yr,
Short Int Current Month,993325.0
Short Int Prev Month,979448.0
Short Int Pct of Float,0.0178299
Days to Cover,1.96449
Float,55.71042
Shares Outstanding,57.51349
Institutions Holding Shares,882.0
% Held by Institutions,0.949594
FCF Growth 5yr,-5.832125603864735
