,BWXT
Price/Earnings (TTM),17.95871
Price/Sales (TTM),2.52613
Price/Book (MRQ),7.79944
Price/Cash Flow (TTM),14.40514
5yr Low,35.91
5yr High,72.18
5yr Avg Return,0.05049999999999999
EPS Growth 5yr,0.12917389999999998
Revenue Growth 5yr,0.0649654
Dividend Growth 5yr,0.18466449999999998
Short Int Current Month,2824786.0
Short Int Prev Month,3040356.0
Short Int Pct of Float,0.0310882
Days to Cover,3.99265
Float,90.86396
Shares Outstanding,91.22229
Institutions Holding Shares,407.0
% Held by Institutions,1.006317
FCF Growth 5yr,-1.1603961287774425
