,BWXT
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.026490066225165476
Growth 1yr High Est,0.02941176470588225
Growth 1yr Consensus Est,0.027950915465523862
Growth 2yr Low Est,-0.03191625720999797
Growth 2yr High Est,-0.009103641456582656
Growth 2yr Consensus Est,-0.02050994933329031
Growth 5yr Low Est,0.029826185120491205
Growth 5yr High Est,0.04240255961220793
Growth 5yr Consensus Est,0.03611437236634957
Growth 5yr Actual/Est,0.02814701010421622
Growth 3yr Historic,0.041597384929332626
