,BWXT
% Below High,0.0302
% Held by Institutions,1.0063
52-Wk Range,['42.58 - 62.84']
Annual Dividend $,0.88
Annual Dividend %,0.0144
Ask,62.1
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.8
Bid,42.36
Bid Size,100.0
Closing Price,60.94
Day Change $,0.64
Day Change %,0.0106
Day High,61.4
Day Low,60.4
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",3.39
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.29600000000000004
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.96
Prev Close,60.3
Shares Outstanding,91.2M
Short Interest,0.0311
Today's Open,60.76
Volume,150517.0
Volume 10-day Avg,856766.0
Volume Past Day,(Light)
