,CERT
% Above Low,0.49810000000000004
% Held by Institutions,0.8653
52-Wk Range,['10.60 - 29.99']
Annual Dividend $,
Annual Dividend %,
Ask,15.99
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,
Bid,15.3
Bid Size,100.0
Closing Price,15.88
Day Change $,-0.61
Day Change %,-0.037000000000000005
Day High,16.52
Day Low,15.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.03
Ex-dividend Date,No dividend
Historical Volatility,0.647
Last (size),5100.0
Last (time),12:59p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.49
Shares Outstanding,159.7M
Short Interest,0.024900000000000002
Today's Open,16.52
Volume,418805.0
Volume 10-day Avg,843273.0
Volume Past Day,(Light)
