,CERT
Price/Earnings (TTM),
Price/Sales (TTM),7.81733
Price/Book (MRQ),2.40642
Price/Cash Flow (TTM),52.62889
5yr Low,10.6
5yr High,45.48
5yr Avg Return,-0.15906666666666666
Short Int Current Month,2908192.0
Short Int Prev Month,2202565.0
Short Int Pct of Float,0.0248728
Days to Cover,2.70005
Float,152.8081
Shares Outstanding,159.673
Institutions Holding Shares,255.0
% Held by Institutions,0.865275
FCF Growth 5yr,0.9015585950792676
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
