,KFRC
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.19830028328611915
Growth 1yr High Est,0.1938202247191012
Growth 1yr Consensus Est,0.19606025400261018
Growth 2yr Low Est,-0.03441959830965913
Growth 2yr High Est,0.11338070059484473
Growth 2yr Consensus Est,0.0394805511425928
Growth 5yr Low Est,0.104906430843412
Growth 5yr High Est,0.1715260675949476
Growth 5yr Consensus Est,0.1382162492191798
Growth 5yr Actual/Est,0.14589573614362636
Growth 3yr Historic,0.11532863242334068
