,KFRC
% Above Low,0.0852
% Held by Institutions,0.8805
52-Wk Range,['54.34 - 80.23']
Annual Dividend $,1.2
Annual Dividend %,0.0203
Ask,95.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,23.76
Bid Size,200.0
Closing Price,58.97
Day Change $,-0.82
Day Change %,-0.0137
Day High,59.84
Day Low,58.63
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",4.29
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.364
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.75
Prev Close,59.79
Shares Outstanding,20.8M
Short Interest,0.0321
Today's Open,58.63
Volume,36305.0
Volume 10-day Avg,107053.0
Volume Past Day,(Light)
