,MGRC
Price/Earnings (TTM),23.04103
Price/Sales (TTM),3.40764
Price/Book (MRQ),3.08044
Price/Cash Flow (TTM),9.98358
5yr Low,42.98
5yr High,100.3
5yr Avg Return,0.13935
EPS Growth 5yr,0.1806023
Revenue Growth 5yr,0.0778144
Dividend Growth 5yr,0.11273
Short Int Current Month,168296.0
Short Int Prev Month,212596.0
Short Int Pct of Float,0.0070024
Days to Cover,1.60154
Float,24.02271
Shares Outstanding,24.38245
Institutions Holding Shares,240.0
% Held by Institutions,0.849375
FCF Growth 5yr,-1.7739141315764488
