,MGRC
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.22777777777777763
Growth 1yr High Est,0.2195121951219512
Growth 1yr Consensus Est,0.2236449864498644
Growth 2yr Low Est,0.11841377576671686
Growth 2yr High Est,0.14197831978319786
Growth 2yr Consensus Est,0.13019604777495736
Growth 5yr Low Est,0.04920688788335845
Growth 5yr High Est,0.06122353489159893
Growth 5yr Consensus Est,0.05521521138747869
Growth 5yr Actual/Est,0.04875692305915269
Growth 3yr Historic,-0.015417033666079494
