,LKFN
% Below High,0.0873
% Held by Institutions,0.8025
52-Wk Range,['64.05 - 85.71']
Annual Dividend $,1.6
Annual Dividend %,0.020499999999999997
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,78.23
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",3.97
Ex-dividend,2022-10-24 00:00:00
Ex-dividend Date,10/24/22
Historical Volatility,0.245
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.68
Prev Close,78.23
Shares Outstanding,25.4M
Short Interest,0.0723
Today's Open,
Volume,27430.0
Volume 10-day Avg,76151.0
Volume Past Day,(Light)
