,LKFN
Price/Earnings (TTM),19.68407
Price/Sales (TTM),8.54968
Price/Book (MRQ),3.82012
Price/Cash Flow (TTM),18.33407
5yr Low,30.49
5yr High,85.71
5yr Avg Return,0.09590000000000001
EPS Growth 5yr,0.1280531
Revenue Growth 5yr,0.06816320000000001
Dividend Growth 5yr,0.1335491
Short Int Current Month,1770248.0
Short Int Prev Month,1821228.0
Short Int Pct of Float,0.0722551
Days to Cover,20.76294
Float,24.50898
Shares Outstanding,25.35013
Institutions Holding Shares,280.0
% Held by Institutions,0.8024840000000001
FCF Growth 5yr,0.26690410627377714
