,IRWD
% Below High,0.0942
% Held by Institutions,1.103
52-Wk Range,['9.73 - 12.95']
Annual Dividend $,
Annual Dividend %,
Ask,12.65
Ask Size,12800.0
B/A Ratio,0.0078125
B/A Size,100x12800
Beta,1.0
Bid,11.16
Bid Size,100.0
Closing Price,11.73
Day Change $,0.15
Day Change %,0.013000000000000001
Day High,11.77
Day Low,11.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.95
Ex-dividend Date,No dividend
Historical Volatility,0.307
Last (size),169.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.41
Prev Close,11.58
Shares Outstanding,153.4M
Short Interest,0.12480000000000001
Today's Open,11.54
Volume,518661.0
Volume 10-day Avg,1813999.0
Volume Past Day,(Light)
