,KRYS
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,2.0531914893617023
Growth 1yr High Est,1.7857142857142856
Growth 1yr Consensus Est,1.919452887537994
Growth 2yr Low Est,1.129383201126844
Growth 2yr High Est,0.8191391941391941
Growth 2yr Consensus Est,0.9742611976330191
Growth 5yr Low Est,0.6628397487115701
Growth 5yr High Est,0.5247869883739449
Growth 5yr Consensus Est,0.5938133685427576
Growth 5yr Actual/Est,0.4710071761002569
Growth 3yr Historic,0.3138523391812866
