,KRYS
% Below High,0.2357
% Held by Institutions,0.8127
52-Wk Range,['38.86 - 102.99']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,95.69
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Bid close,60.08
Change Since Close,-2.35| |(-2.99%)
Closing Price,78.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.2
Ex-dividend Date,No dividend
Historical Volatility,1.032
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,76.37
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,78.72
Shares Outstanding,25.7M
Short Interest,0.0604
Today's Open,
Volume,1.0
Volume 10-day Avg,120694.0
Volume Past Day,(Light)
