,WD
% Above Low,0.11970000000000001
% Held by Institutions,0.7417
52-Wk Range,['75.33 - 154.53']
Annual Dividend $,2.4
Annual Dividend %,0.0281
Ask,106.29
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,84.35
Day Change $,-1.02
Day Change %,-0.011899999999999999
Day High,85.01
Day Low,83.54
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.54
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.399
Last (size),14.0
Last (time),7:00p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.32
Prev Close,85.37
Shares Outstanding,33.0M
Short Interest,0.0226
Today's Open,84.68
Volume,96129.0
Volume 10-day Avg,118951.0
Volume Past Day,(Below Average)
