,RCL
Price/Earnings (TTM),
Price/Sales (TTM),2.10967
Price/Book (MRQ),4.75106
Price/Cash Flow (TTM),
5yr Low,19.25
5yr High,135.65
5yr Avg Return,-0.08741666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.2900753
Dividend Growth 5yr,
Short Int Current Month,23222483.0
Short Int Prev Month,22193770.0
Short Int Pct of Float,0.1055967
Days to Cover,3.37122
Float,219.969
Shares Outstanding,255.182
Institutions Holding Shares,824.0
% Held by Institutions,0.733877
FCF Growth 5yr,-0.05794311811569693
