,SEE
% Above Low,0.2561
% Held by Institutions,0.9029
52-Wk Range,['41.24 - 70.73']
Annual Dividend $,0.8
Annual Dividend %,0.015300000000000001
Ask,51.82
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,51.8
Bid Size,100.0
Day Change $,-0.51
Day Change %,-0.0097
Day High,51.89
Day Low,51.49
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",3.81
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.34299999999999997
Last (size),100.0
Last (time),1:56p ET 11/28/22
Market Cap,7.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.74
Prev Close,52.31
Price,51.8
Shares Outstanding,144.7M
Short Interest,0.015600000000000001
Today's Open,51.8
Volume Past Day,(Light)
