,SEE
Price/Earnings (TTM),13.73893
Price/Sales (TTM),1.31201
Price/Book (MRQ),34.67851
Price/Cash Flow (TTM),10.03586
5yr Low,17.06
5yr High,70.73
5yr Avg Return,0.04836666666666666
EPS Growth 5yr,0.1691062
Revenue Growth 5yr,0.0561399
Dividend Growth 5yr,0.044953
Short Int Current Month,2239306.0
Short Int Prev Month,2386504.0
Short Int Pct of Float,0.0155633
Days to Cover,1.25717
Float,143.8945
Shares Outstanding,144.6575
Institutions Holding Shares,706.0
% Held by Institutions,0.9029170000000001
FCF Growth 5yr,-2.1760503295998466
