,SIVB
Price/Earnings (TTM),8.26311
Price/Sales (TTM),2.12718
Price/Book (MRQ),1.10904
Price/Cash Flow (TTM),7.44993
5yr Low,127.39
5yr High,763.22
5yr Avg Return,0.13575000000000004
EPS Growth 5yr,0.3371696
Revenue Growth 5yr,0.2247737
Dividend Growth 5yr,
Short Int Current Month,2929076.0
Short Int Prev Month,2397206.0
Short Int Pct of Float,0.0497951
Days to Cover,2.33687
Float,58.83513
Shares Outstanding,59.10412
Institutions Holding Shares,993.0
% Held by Institutions,0.93821
FCF Growth 5yr,0.8579681398895606
