,GMS
Price/Earnings (TTM),7.11076
Price/Sales (TTM),0.42036
Price/Book (MRQ),1.82265
Price/Cash Flow (TTM),4.89055
5yr Low,10.39
5yr High,61.79
5yr Avg Return,0.19923333333333335
EPS Growth 5yr,0.39236170000000004
Revenue Growth 5yr,0.1485291
Dividend Growth 5yr,
Short Int Current Month,735046.0
Short Int Prev Month,1037414.0
Short Int Pct of Float,0.017773
Days to Cover,4.07713
Float,42.15805
Shares Outstanding,42.40682
Institutions Holding Shares,309.0
% Held by Institutions,0.971005
FCF Growth 5yr,-1.7176896236796384
