,GMS
% Below High,0.20550000000000002
% Held by Institutions,0.971
52-Wk Range,['36.10 - 61.79']
Annual Dividend $,
Annual Dividend %,
Ask,77.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,31.85
Bid Size,100.0
Closing Price,49.09
Day Change $,0.09
Day Change %,0.0018
Day High,49.58
Day Low,48.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.9
Ex-dividend Date,No dividend
Historical Volatility,0.452
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.11
Prev Close,49.0
Shares Outstanding,42.4M
Short Interest,0.0178
Today's Open,49.0
Volume,73383.0
Volume 10-day Avg,149533.0
Volume Past Day,(Light)
