,NVCR
% Above Low,0.33
% Held by Institutions,0.7973
52-Wk Range,['56.39 - 104.12']
Annual Dividend $,
Annual Dividend %,
Ask,75.0
Ask Size,100.0
Ask close,79.96
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,72.0
Bid Size,300.0
Bid close,70.42
Change Since Close,-2.24| |(-2.99%)
Closing Price,75.0
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.674
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,72.76
Market Cap,7.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,75.0
Shares Outstanding,105.0M
Short Interest,0.0791
Today's Open,
Volume,1.0
Volume 10-day Avg,444012.0
Volume Past Day,(Light)
