,NVCR
Price/Earnings (TTM),
Price/Sales (TTM),14.50591
Price/Book (MRQ),17.67109
Price/Cash Flow (TTM),
5yr Low,18.13
5yr High,232.76
5yr Avg Return,0.4704166666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.4520362
Dividend Growth 5yr,
Short Int Current Month,8200550.0
Short Int Prev Month,8296333.0
Short Int Pct of Float,0.07905380000000001
Days to Cover,15.75481
Float,103.7876
Shares Outstanding,104.9501
Institutions Holding Shares,459.0
% Held by Institutions,0.797339
FCF Growth 5yr,1.129658743111234
