,COHU
% Below High,0.1167
% Held by Institutions,0.9223
52-Wk Range,['24.06 - 39.86']
Annual Dividend $,
Annual Dividend %,
Ask,37.32
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,31.08
Bid Size,100.0
Closing Price,35.21
Day Change $,-0.39
Day Change %,-0.011000000000000001
Day High,35.75
Day Low,35.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.96
Ex-dividend Date,No dividend
Historical Volatility,0.5479999999999999
Last (size),23.0
Last (time),12:59p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.98
Prev Close,35.6
Shares Outstanding,47.6M
Short Interest,0.0333
Today's Open,35.36
Volume,83854.0
Volume 10-day Avg,257344.0
Volume Past Day,(Light)
