,COHU
Price/Earnings (TTM),17.97832
Price/Sales (TTM),2.06145
Price/Book (MRQ),1.90163
Price/Cash Flow (TTM),11.79203
5yr Low,8.89
5yr High,51.86
5yr Avg Return,0.10256666666666665
EPS Growth 5yr,0.9624411
Revenue Growth 5yr,0.2575637
Dividend Growth 5yr,
Short Int Current Month,1555440.0
Short Int Prev Month,1367398.0
Short Int Pct of Float,0.0332695
Days to Cover,4.16487
Float,46.71643
Shares Outstanding,47.62997
Institutions Holding Shares,252.0
% Held by Institutions,0.922257
FCF Growth 5yr,-20.084731118520867
