,CLSK
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.8122605363984674
Growth 1yr High Est,-0.8199233716475096
Growth 1yr Consensus Est,-0.8160919540229885
Growth 2yr Low Est,1.2979513644538279
Growth 2yr High Est,-1.1652808347599248
Growth 2yr Consensus Est,0.06633526484695151
Growth 5yr Low Est,0.8653009096358852
Growth 5yr High Est,-0.7768538898399499
Growth 5yr Consensus Est,0.044223509897967604
Growth 5yr Actual/Est,-0.31138907103825136
Growth 3yr Historic,-0.3255557377049181
