,KBR
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.11111111111111116
Growth 1yr High Est,0.10416666666666674
Growth 1yr Consensus Est,0.10763888888888895
Growth 2yr Low Est,0.08440170940170943
Growth 2yr High Est,0.13887578616352203
Growth 2yr Consensus Est,0.11163874778261573
Growth 5yr Low Est,0.1482706994902117
Growth 5yr High Est,0.16675046289580925
Growth 5yr Consensus Est,0.15751058119301048
Growth 5yr Actual/Est,0.1567900379066713
Growth 3yr Historic,0.1056281424222732
