,KBR
% Below High,0.0779
% Held by Institutions,1.0415999999999999
52-Wk Range,['41.69 - 56.94']
Annual Dividend $,0.48
Annual Dividend %,0.0091
Ask,52.88
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,
Bid Size,
Closing Price,52.5
Day Change $,0.62
Day Change %,0.012
Day High,52.87
Day Low,51.91
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",1.02
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.322
Last (size),1700.0
Last (time),5:00p ET 11/25/22
Market Cap,7.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",51.36
Prev Close,51.88
Shares Outstanding,137.2M
Short Interest,0.0297
Today's Open,51.97
Volume,323644.0
Volume 10-day Avg,999386.0
Volume Past Day,(Light)
