,SRPT
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.3656597774244832
Growth 1yr High Est,0.35338345864661647
Growth 1yr Consensus Est,0.35952161803554983
Growth 2yr Low Est,0.16653186775764328
Growth 2yr High Est,-0.1603453077137288
Growth 2yr Consensus Est,0.0030932800219572454
Growth 5yr Low Est,0.048925514253262824
Growth 5yr High Est,-0.23111070828713995
Growth 5yr Consensus Est,-0.09109259701693856
Growth 5yr Actual/Est,-0.10150831286235262
Growth 3yr Historic,-0.13585831591541483
