,SRPT
Price/Earnings (TTM),
Price/Sales (TTM),11.48026
Price/Book (MRQ),23.339
Price/Cash Flow (TTM),
5yr Low,50.68
5yr High,181.83
5yr Avg Return,0.21676666666666666
EPS Growth 5yr,
Revenue Growth 5yr,1.645072
Dividend Growth 5yr,
Short Int Current Month,7350540.0
Short Int Prev Month,8038837.0
Short Int Pct of Float,0.0878312
Days to Cover,6.89391
Float,83.6843
Shares Outstanding,87.78258
Institutions Holding Shares,488.0
% Held by Institutions,0.869469
FCF Growth 5yr,0.11054690003671164
